customer_id,age,gender,location,income_level,signup_date,n_transactions,total_spend,avg_basket_value,max_spend,min_spend,interactions_count,Comment,Like,Share,Negative,Neutral,Positive,Very Negative,Very Positive
9207fa75-5758-48d1-94ad-19c041e0520f,51.0,Female,Jensenberg,Low,2022-11-17 00:00:00,1.0,660.87,660.87,660.87,660.87,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
50118139-7264-428f-81cc-a25fddc5d6dd,44.0,Male,Port Carl,Medium,2024-06-10 00:00:00,,,,,,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7d1f2bbc-8d16-4fbc-9b37-ece3324e8ed4,50.0,Female,Jessebury,High,2023-08-24 00:00:00,1.0,733.46,733.46,733.46,733.46,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2de49c7c-32ae-4ba8-b058-622a090d7094,53.0,Female,Emilyville,Low,2022-02-13 00:00:00,2.0,891.74,445.87,615.28,276.46,3.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
8602d631-457c-49c1-8b59-8efb2a4448d4,51.0,Male,East Keithville,High,2022-04-17 00:00:00,1.0,815.21,815.21,815.21,815.21,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
56f11a95-76f1-4a97-b38f-db1dc95da1ed,59.0,Female,East Nathan,Medium,2020-01-02 00:00:00,,,,,,3.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
3f520998-2bc4-4f38-af82-5ab2de339984,59.0,Female,Smithside,High,2023-10-06 00:00:00,1.0,183.91,183.91,183.91,183.91,,,,,,,,,
b2f4c25e-be11-4912-9d14-5c288616e56e,29.0,Male,South Timothyhaven,High,2023-07-09 00:00:00,1.0,533.94,533.94,533.94,533.94,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8de7560f-370d-4cfd-8135-20a3de237264,31.0,Female,Colemanstad,Low,2020-12-01 00:00:00,,,,,,,,,,,,,,
fcb513ca-6a74-4745-b855-6cc3e891cc02,53.0,Female,East Stuart,Medium,2022-01-09 00:00:00,,,,,,,,,,,,,,
9fc2bfa2-6dd0-4557-883b-18c88361a277,24.0,Female,North Kelly,Medium,2023-06-09 00:00:00,,,,,,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
30ac13c2-740f-4650-a33b-2fe3c5a6adc2,49.0,Male,Morenoville,Low,2020-09-19 00:00:00,1.0,222.14,222.14,222.14,222.14,,,,,,,,,
981deb70-b1e1-4d06-a2b3-489bec80c7e9,29.0,Male,Robertborough,Low,2023-12-16 00:00:00,,,,,,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
8704391b-7a78-454a-a257-cefaa907d324,65.0,Male,Sherryborough,High,2022-10-02 00:00:00,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2577a150-d45a-4a04-b9e5-312e050d6f68,45.0,Male,Port Scott,High,2023-02-23 00:00:00,,,,,,,,,,,,,,
2fa0a6aa-a9cc-46ad-b567-e26976a98234,53.0,Male,Gonzalezshire,High,2022-08-06 00:00:00,2.0,1582.38,791.19,843.12,739.26,,,,,,,,,
45fd78bb-ce7d-49b2-a43f-c418abc621d7,52.0,Male,East Tonya,Medium,2023-07-30 00:00:00,1.0,664.82,664.82,664.82,664.82,,,,,,,,,
c56a1423-e1b0-45c1-974a-55f5fa029c88,61.0,Male,South Kim,Medium,2022-08-13 00:00:00,2.0,1384.53,692.265,950.56,433.97,,,,,,,,,
ef562111-91d8-47bc-a2b1-d6622604fd3d,61.0,Female,Loganbury,Low,2020-10-05 00:00:00,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
24c99886-9e2e-4b95-a28d-6a809ddf8447,47.0,Male,South Rachelview,Low,2021-10-15 00:00:00,3.0,2225.34,741.7800000000001,909.32,616.98,,,,,,,,,
b79b5054-0141-4007-8a24-fca072355faf,18.0,Female,East Samanthaview,High,2020-04-07 00:00:00,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62a8fa58-109b-4f81-a035-ba7ce2b39f38,19.0,Male,New Margaret,Low,2023-04-15 00:00:00,,,,,,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0cdab4e0-134c-41c2-b737-34b1bab1a96a,70.0,Female,Amandaburgh,Low,2019-08-16 00:00:00,,,,,,,,,,,,,,
36bc83c7-adc6-45b8-960d-685e9d19661e,32.0,Female,New Annafort,Medium,2020-01-21 00:00:00,1.0,649.14,649.14,649.14,649.14,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
f06d1c8c-b764-4881-945e-580ba05f4e7f,23.0,Male,Cervantesbury,Low,2021-06-08 00:00:00,,,,,,,,,,,,,,
96a87ecb-2f53-4c22-8507-13c3cfd6d85a,40.0,Male,North Christopher,Medium,2019-09-26 00:00:00,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
be148fdc-ceb4-4b47-9f09-219b96803d11,63.0,Male,West Edwardhaven,Medium,2024-05-04 00:00:00,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
bd2ce275-8d35-4a95-8812-2e012d3ece09,44.0,Female,Scottside,Medium,2022-11-20 00:00:00,1.0,58.69,58.69,58.69,58.69,,,,,,,,,
3151b4f8-afe8-405a-b152-aa1cc8616f05,64.0,Male,East Brianfort,Low,2024-02-06 00:00:00,1.0,154.02,154.02,154.02,154.02,,,,,,,,,
703ac047-6c29-4d13-8ab3-373a4df6c98c,54.0,Female,Duranchester,Low,2023-10-20 00:00:00,2.0,998.31,499.155,693.28,305.03,,,,,,,,,
2f3e0093-5f1f-493e-abc3-80fb29363656,68.0,Female,North Luke,High,2020-09-24 00:00:00,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
013c4cd9-1d0f-4004-8772-065ab426d105,39.0,Male,South Jamesburgh,Medium,2022-08-24 00:00:00,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
7ab3863d-017c-4f63-93a2-4728b714a8fd,33.0,Male,North Leslie,Low,2022-04-03 00:00:00,,,,,,,,,,,,,,
b6af124a-7396-46fb-b57e-bea31cd86b5c,51.0,Female,East Joshua,Low,2021-04-28 00:00:00,,,,,,,,,,,,,,
d91e9fd4-1922-4b2c-b958-0401ebbc6e48,52.0,Female,East Katie,Low,2021-10-26 00:00:00,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ea3a479e-5284-4aac-9486-036c404ecdb5,64.0,Female,Mariaside,High,2023-11-03 00:00:00,,,,,,,,,,,,,,
d20f21c5-a3c3-40c6-8451-9869c58a48c0,63.0,Male,Harrisburgh,Low,2020-08-06 00:00:00,2.0,613.4300000000001,306.71500000000003,458.41,155.02,,,,,,,,,
c9f831b4-43cf-4ed9-9b47-09542e239c70,53.0,Female,East Ryanbury,Medium,2023-10-12 00:00:00,2.0,1018.38,509.19,703.27,315.11,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
987f285b-7246-48bb-a73d-d48bfcb97bcd,68.0,Male,Lake Stephanie,Medium,2024-06-07 00:00:00,,,,,,,,,,,,,,
348c5ab5-992d-4780-ba71-d1a5e3818191,46.0,Female,New Jesseside,Low,2023-09-24 00:00:00,,,,,,,,,,,,,,
42d3c5b0-ec77-4567-b66c-449783077049,65.0,Female,Kristopherfort,High,2022-09-22 00:00:00,2.0,1654.51,827.255,911.51,743.0,,,,,,,,,
230c7314-8729-4043-a486-7b0110e235b1,46.0,Male,East Michael,High,2019-08-22 00:00:00,,,,,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51011001-3f94-45eb-9456-27bb4754f2f5,68.0,Male,Lake Nathan,High,2021-08-04 00:00:00,1.0,637.54,637.54,637.54,637.54,,,,,,,,,
9ece1b55-20b8-4d22-9d6a-bd54a7374e5b,25.0,Female,Jennifermouth,Low,2019-10-24 00:00:00,1.0,758.2,758.2,758.2,758.2,,,,,,,,,
4b54cb6f-865e-486f-ae13-f963b85c54fb,58.0,Female,Jeremyberg,Low,2023-09-17 00:00:00,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
e8a5fdb8-fcd9-450c-9635-e376266c8bcf,48.0,Female,Robinburgh,High,2024-06-08 00:00:00,3.0,1529.51,509.83666666666664,645.53,309.51,4.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0
f43422cc-a731-4574-a05d-9adf4dd4bea4,54.0,Female,Huberfurt,Low,2023-01-03 00:00:00,1.0,615.38,615.38,615.38,615.38,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
92a23695-98ec-457e-906c-b6627ef55b45,28.0,Female,Lake Cameron,Low,2020-10-28 00:00:00,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6fd7c547-70cf-41a8-b6b4-07a1d66f80ff,39.0,Female,Lake Allisonmouth,High,2020-10-21 00:00:00,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30dc519a-a52c-465c-8678-8110e7bd13ed,37.0,Male,Port Brandonmouth,High,2022-08-20 00:00:00,1.0,833.53,833.53,833.53,833.53,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
c30de55f-687c-46f5-bbd2-a9e73d2d138d,44.0,Male,Harringtontown,Medium,2023-07-07 00:00:00,1.0,736.46,736.46,736.46,736.46,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
a4c9847c-dd0b-4b8d-83a8-c59968f274d7,19.0,Female,Christopherhaven,High,2021-02-12 00:00:00,2.0,189.76,94.88,99.23,90.53,,,,,,,,,
d6d22cf1-649a-4b97-9a9b-8ebc1ebe89c9,34.0,Female,Wilkersonbury,High,2023-07-10 00:00:00,2.0,587.94,293.97,297.25,290.69,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
e8cbd1fc-5d2d-472a-8c68-8283bb58c8ae,26.0,Male,Latoyaville,Low,2019-12-23 00:00:00,1.0,93.86,93.86,93.86,93.86,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
